name, order, ra, dec, slopes[0], slopes[1],  slopes_sigma[0], slopes_sigma[1], change_point, change_point_sigma, log_marginal_likelihood
Source_RA:5d23m26.4119651s_DEC:-25d35m56.06093185s, 1, 5.390669990305226, -25.598905814401643, 0.8875196964177924, 0.5574941452381933, 0.2959839783157652, 0.46585741402959896, [1.3015392019969096], [0.17001548281241752], 71.19638268561269
Source_RA:5d23m23.94572962s_DEC:-26d11m27.29711305s, 1, 5.389984924893456, -26.190915864734944, -0.26809925744203444, -0.5292887385143338, 0.5200112422003434, 0.9710435066233785, [1.2981204291084645], [0.2567284660932828], 71.57843342733469
Source_RA:5d23m16.83076478s_DEC:-25d53m22.08193814s, 1, 5.38800854577113, -25.889467205038187, -0.47086076242972036, 0.29839212368148066, 0.011293721154612925, 0.8546248204577386, [1.572470444675363], [0.0621207987758865], 75.42562930965614
Source_RA:5d23m00.70112266s_DEC:-26d08m15.57449861s, 1, 5.38352808962804, -26.137659582946185, -1.1880022275148947, -0.5347700039056265, 0.019670975628005405, 0.02089341288769599, [1.3626752313904484], [0.012223564713351313], 52.47058678731764
Source_RA:5d22m57.79201467s_DEC:-25d46m23.74480756s, 1, 5.38272000407607, -25.773262446544766, -0.9080880085004065, -0.8308784856278526, 0.5668465898458015, 1.125857742765752, [1.3085284844911445], [0.24927528702569698], 70.04660316260181
Source_RA:5d22m25.99236529s_DEC:-25d16m34.0213651s, 1, 5.373886768136511, -25.276117045860406, -0.10311057525876069, 0.9613393914143329, 0.14260927626079528, 1.0372766010610786, [1.467023910830431], [0.15604166560059546], 67.26401226176957
Source_RA:5d21m50.7145899s_DEC:-26d09m44.55453327s, 1, 5.364087386083691, -26.162376259240848, -0.6220260193532331, 0.47566488657795825, 0.3657156635276825, 0.6022224499126961, [1.3501348163826588], [0.1308395346499769], 69.69658867943396
Source_RA:5d21m03.13516412s_DEC:-25d47m37.03235775s, 1, 5.350870878922626, -25.793620099373854, -0.836326706325888, -0.4223001008630366, 0.06680144242862282, 0.8968660844315013, [1.4807344653673251], [0.1674568203973501], 77.39709171448843
Source_RA:5d21m03.31159282s_DEC:-25d38m40.03021386s, 1, 5.350919886893748, -25.644452837182424, -0.5458683290575855, -1.2990407411609608, 0.821200744994144, 0.7756125632384956, [1.2172788572471], [0.2749772358512746], 74.81249951618004
Source_RA:5d21m00.86876825s_DEC:-26d15m40.42313952s, 1, 5.350241324514886, -26.26122864986723, -0.16733428511711002, 1.0476514422150878, 0.16173512258533562, 0.3062271511230934, [1.3493156487452524], [0.06418265202808089], 69.9471957287365
Source_RA:5d20m34.84092234s_DEC:-25d56m18.2946925s, 1, 5.343011367316354, -25.938415192361358, -0.45101360124379464, -0.16587863010235807, 0.030785386517907125, 0.44750177211047787, [1.3341430965879297], [0.21735161549856097], 74.91063039526978
Source_RA:5d19m09.57105843s_DEC:-25d34m54.51790323s, 1, 5.319325294009236, -25.58181052867512, -0.08337515653505821, 0.17356820484756277, 0.5126672845759835, 0.6889450616301654, [1.3128934450598735], [0.24028781152691936], 72.40545457890924
Source_RA:5d19m04.49028823s_DEC:-25d32m59.76628821s, 1, 5.317913968952289, -25.549935080059317, -0.5444612803144383, -1.1157242152787379, 0.6137814498032604, 1.036476993397317, [1.3300960554920205], [0.23052521936125914], 73.68029681509645
Source_RA:5d18m22.86283511s_DEC:-25d27m04.84032249s, 1, 5.306350787531515, -25.451344534024358, -0.8944516848421513, -0.21363600851560538, 0.12836502553991364, 1.0503553039408184, [1.4699491846235517], [0.17156887401708798], 74.29570872711936
Source_RA:5d18m13.49104101s_DEC:-25d47m20.72915438s, 1, 5.303747511391196, -25.789091431771176, -0.7051415915521299, -0.7718458365840968, 0.5644529314246602, 0.9118016705007786, [1.2632739509045514], [0.2586481596085095], 72.57114675133533
Source_RA:5d17m39.41280932s_DEC:-25d58m46.54817554s, 1, 5.294281335921875, -25.979596715428162, -0.9877625855423283, -0.4532024821724854, 0.03938454809529124, 0.7696603258556272, [1.4433173004730293], [0.12720385223216232], 76.18674688903896
Source_RA:5d17m08.06553763s_DEC:-25d45m16.56670811s, 1, 5.285573760452726, -25.754601863362602, -0.11057290949895465, -0.6176304022382042, 0.41937707583333506, 1.0258754489163258, [1.3281376987279911], [0.25652232124231833], 70.75293194011213
Source_RA:5d16m41.17302831s_DEC:-25d49m25.78773026s, 1, 5.278103618974992, -25.823829925072317, -0.8366661353280507, -0.450304972813783, 0.43974554716650627, 0.9670086557582681, [1.3191059164540675], [0.22901955303784555], 70.65806055030218
